symbol,score,vol_score,price_score,market_score,fund_score,current_price,market_cap,sector,industry,max_vol_spike_30d,spike_days_2x,spike_days_3x,vol_trend_ratio,pct_from_52w_high,above_ma200,summary
VIK,75,30,20,10,15,72.12,36876701696,Consumer Cyclical,Travel Services,2.05,1,0,1.1,3.3,True,vol 2X spike (1d) | vol trend up | above MA200 | 3% from 52w high
MKTX,75,35,15,10,15,181.71,5243135488,Financial Services,Capital Markets,3.59,1,1,0.99,20.7,False,vol 2X spike (1d) | vol 3X spike (1d) | 21% from 52w high | base pattern
PFG,75,35,25,10,5,88.11,21709244416,Financial Services,Asset Management,2.91,2,0,1.01,3.5,True,vol 2X spike (2d) | vol trend up | multiple spike events | above MA200
BMY,75,30,20,10,15,53.03,114682724352,Healthcare,Drug Manufacturers - General,2.6,1,0,1.01,11.1,True,vol 2X spike (1d) | vol trend up | above MA200 | 11% from 52w high
EHC,75,35,15,10,15,107.27,10525022208,Healthcare,Medical Care Facilities,2.46,2,0,1.04,15.9,False,vol 2X spike (2d) | vol trend up | multiple spike events | 16% from 52w high
ZTS,75,40,10,10,15,125.33,34724667392,Healthcare,Drug Manufacturers - Specialty & Generic,4.74,2,1,1.21,28.0,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | 28% from 52w high
UHS,75,30,20,10,15,224.84,10288758784,Healthcare,Medical Care Facilities,2.08,1,0,1.08,8.6,True,vol 2X spike (1d) | vol trend up | above MA200 | 9% from 52w high
NET,75,35,20,10,10,199.62,69307260928,Technology,Software - Infrastructure,3.52,1,1,0.96,23.2,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 23% from 52w high
IPGP,75,40,10,10,15,72.83,4434933248,Technology,Semiconductor Equipment & Materials,3.12,1,1,1.08,21.0,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 21% from 52w high
BA,75,30,20,10,15,218.5,187111440384,Industrials,Aerospace & Defense,2.8,1,0,1.03,10.0,True,vol 2X spike (1d) | vol trend up | above MA200 | 10% from 52w high
HIW,75,40,10,10,15,25.49,2855091968,Real Estate,REIT - Office,3.62,3,2,1.14,19.1,False,vol 2X spike (3d) | vol 3X spike (2d) | vol trend up | multiple spike events
NKE,75,40,10,10,15,60.79,65366351872,Consumer Cyclical,Footwear & Accessories,6.61,4,1,1.16,24.0,False,vol 2X spike (4d) | vol 3X spike (1d) | vol trend up | 24% from 52w high
EQIX,75,35,15,10,15,765.54,105733079040,Real Estate,REIT - Specialty,2.66,2,0,1.08,18.4,False,vol 2X spike (2d) | vol trend up | multiple spike events | 18% from 52w high
CRS,75,30,20,10,15,318.27,21257990144,Industrials,Metal Fabrication,2.2,1,0,1.01,6.9,True,vol 2X spike (1d) | vol trend up | above MA200 | 7% from 52w high
GRMN,75,40,10,10,15,204.31,46302846976,Technology,Scientific & Technical Instruments,3.5,2,1,1.07,21.3,False,vol 2X spike (2d) | vol 3X spike (1d) | vol trend up | multiple spike events
ACGL,75,35,25,10,5,96.66,32772745216,Financial Services,Insurance - Diversified,3.85,1,1,0.95,1.0,True,vol 2X spike (1d) | vol 3X spike (1d) | above MA200 | 1% from 52w high
FAST,75,40,10,10,15,40.43,50708705280,Industrials,Industrial Distribution,3.25,1,1,1.01,18.9,False,vol 2X spike (1d) | vol 3X spike (1d) | vol trend up | 19% from 52w high
VNOM,75,30,25,10,10,38.53,16797363200,Energy,Oil & Gas Midstream,2.88,1,0,1.06,20.7,True,vol 2X spike (1d) | vol trend up | above MA200 | 21% from 52w high
